Stat,Rank,Value,Team,Year
Rushing Defense,91,190.8,"Maryland  Terrapins, Terps",2018
Passing Yards Allowed,72,228.6,"Maryland  Terrapins, Terps",2018
Team Passing Efficiency Defense,67,129.39,"Maryland  Terrapins, Terps",2018
Scoring Defense,119,37.1,"Maryland  Terrapins, Terps",2018
Turnover Margin,T-53,0.17,"Maryland  Terrapins, Terps",2018
3rd Down Conversion Pct,127,0.286,"Maryland  Terrapins, Terps",2018
4th Down Conversion Pct,82,0.458,"Maryland  Terrapins, Terps",2018
3rd Down Conversion Pct Defense,126,0.495,"Maryland  Terrapins, Terps",2018
4th Down Conversion Pct Defense,T-63,0.500,"Maryland  Terrapins, Terps",2018
Red Zone Offense,109,0.757,"Maryland  Terrapins, Terps",2018
Red Zone Defense,T-84,0.855,"Maryland  Terrapins, Terps",2018
Net Punting,111,35.74,"Maryland  Terrapins, Terps",2018
Punt Returns,27,10.50,"Maryland  Terrapins, Terps",2018
Kickoff Returns,55,21.57,"Maryland  Terrapins, Terps",2018
First Downs Offense,119,201,"Maryland  Terrapins, Terps",2018
First Downs Defense,109,284,"Maryland  Terrapins, Terps",2018
Fewest Penalties Per Game,T-98,6.92,"Maryland  Terrapins, Terps",2018
Fewest Penalty Yards Per Game,108,64.50,"Maryland  Terrapins, Terps",2018
Time of Possession,116,27:16,"Maryland  Terrapins, Terps",2018
Total Offense,38,432.8,Massachusetts  Minutemen,2018
Rushing Offense,T-99,135.3,Massachusetts  Minutemen,2018
Passing Offense,16,297.5,Massachusetts  Minutemen,2018
Team Passing Efficiency,30,144.45,Massachusetts  Minutemen,2018
Scoring Offense,T-46,30.6,Massachusetts  Minutemen,2018
Total Defense,78,404.9,Massachusetts  Minutemen,2018
Rushing Defense,100,197.9,Massachusetts  Minutemen,2018
Passing Yards Allowed,42,207.0,Massachusetts  Minutemen,2018
Team Passing Efficiency Defense,32,118.89,Massachusetts  Minutemen,2018
Scoring Defense,T-97,31.8,Massachusetts  Minutemen,2018
Turnover Margin,T-49,0.25,Massachusetts  Minutemen,2018
3rd Down Conversion Pct,104,0.347,Massachusetts  Minutemen,2018
4th Down Conversion Pct,T-26,0.625,Massachusetts  Minutemen,2018
3rd Down Conversion Pct Defense,51,0.372,Massachusetts  Minutemen,2018
4th Down Conversion Pct Defense,30,0.429,Massachusetts  Minutemen,2018
Red Zone Offense,T-75,0.830,Massachusetts  Minutemen,2018
Red Zone Defense,121,0.904,Massachusetts  Minutemen,2018
Net Punting,124,34.20,Massachusetts  Minutemen,2018
Punt Returns,113,4.65,Massachusetts  Minutemen,2018
Kickoff Returns,99,19.33,Massachusetts  Minutemen,2018
First Downs Offense,T-51,260,Massachusetts  Minutemen,2018
First Downs Defense,T-42,228,Massachusetts  Minutemen,2018
Fewest Penalties Per Game,94,6.58,Massachusetts  Minutemen,2018
Fewest Penalty Yards Per Game,T-79,56.58,Massachusetts  Minutemen,2018
Time of Possession,82,29:13,Massachusetts  Minutemen,2018
Total Offense,4,548.2,Memphis  Tigers,2018
Rushing Offense,30,209.1,Memphis  Tigers,2018
Passing Offense,8,339.1,Memphis  Tigers,2018
Team Passing Efficiency,8,160.42,Memphis  Tigers,2018
Scoring Offense,2,47.7,Memphis  Tigers,2018
Total Defense,120,476.3,Memphis  Tigers,2018
Rushing Defense,98,196.8,Memphis  Tigers,2018
Passing Yards Allowed,122,279.4,Memphis  Tigers,2018
Team Passing Efficiency Defense,87,134.90,Memphis  Tigers,2018
Scoring Defense,104,33.4,Memphis  Tigers,2018
Turnover Margin,T-4,1.17,Memphis  Tigers,2018
3rd Down Conversion Pct,19,0.452,Memphis  Tigers,2018
4th Down Conversion Pct,T-40,0.588,Memphis  Tigers,2018
3rd Down Conversion Pct Defense,116,0.460,Memphis  Tigers,2018
4th Down Conversion Pct Defense,T-114,0.667,Memphis  Tigers,2018
Red Zone Offense,23,0.898,Memphis  Tigers,2018
Red Zone Defense,53,0.815,Memphis  Tigers,2018
Net Punting,31,39.70,Memphis  Tigers,2018
Punt Returns,98,5.47,Memphis  Tigers,2018
Kickoff Returns,5,26.09,Memphis  Tigers,2018
First Downs Offense,12,310,Memphis  Tigers,2018
First Downs Defense,T-117,296,Memphis  Tigers,2018
Fewest Penalties Per Game,127,8.83,Memphis  Tigers,2018
Fewest Penalty Yards Per Game,127,81.00,Memphis  Tigers,2018
Time of Possession,121,26:45,Memphis  Tigers,2018
Total Offense,58,405.5,Miami (FL) Hurricanes,2018
Rushing Offense,72,159.7,Miami (FL) Hurricanes,2018
Passing Offense,50,245.8,Miami (FL) Hurricanes,2018
Team Passing Efficiency,68,131.08,Miami (FL) Hurricanes,2018
Scoring Offense,56,29.5,Miami (FL) Hurricanes,2018
Total Defense,39,359.8,Miami (FL) Hurricanes,2018
Rushing Defense,42,146.1,Miami (FL) Hurricanes,2018
Passing Yards Allowed,51,213.7,Miami (FL) Hurricanes,2018
Team Passing Efficiency Defense,16,112.05,Miami (FL) Hurricanes,2018
Scoring Defense,19,19.9,Miami (FL) Hurricanes,2018
Turnover Margin,2,1.25,Miami (FL) Hurricanes,2018
3rd Down Conversion Pct,124,0.294,Miami (FL) Hurricanes,2018
4th Down Conversion Pct,T-12,0.667,Miami (FL) Hurricanes,2018
3rd Down Conversion Pct Defense,70,0.390,Miami (FL) Hurricanes,2018
4th Down Conversion Pct Defense,24,0.409,Miami (FL) Hurricanes,2018
Red Zone Offense,T-11,0.927,Miami (FL) Hurricanes,2018
Red Zone Defense,T-91,0.865,Miami (FL) Hurricanes,2018
Net Punting,107,36.00,Miami (FL) Hurricanes,2018
Punt Returns,5,15.92,Miami (FL) Hurricanes,2018
Kickoff Returns,46,21.81,Miami (FL) Hurricanes,2018
First Downs Offense,92,234,Miami (FL) Hurricanes,2018
First Downs Defense,60,246,Miami (FL) Hurricanes,2018
Fewest Penalties Per Game,42,5.42,Miami (FL) Hurricanes,2018
Fewest Penalty Yards Per Game,64,53.00,Miami (FL) Hurricanes,2018
Time of Possession,119,27:02,Miami (FL) Hurricanes,2018
Total Offense,90,383.6,Miami (OH) RedHawks,2018
Rushing Offense,87,145.9,Miami (OH) RedHawks,2018
Passing Offense,58,237.7,Miami (OH) RedHawks,2018
Team Passing Efficiency,65,131.55,Miami (OH) RedHawks,2018
Scoring Offense,95,24.4,Miami (OH) RedHawks,2018
Total Defense,44,367.6,Miami (OH) RedHawks,2018
Rushing Defense,70,166.8,Miami (OH) RedHawks,2018
Passing Yards Allowed,35,200.8,Miami (OH) RedHawks,2018
Team Passing Efficiency Defense,35,119.22,Miami (OH) RedHawks,2018
Scoring Defense,44,24.1,Miami (OH) RedHawks,2018
Turnover Margin,T-74,-0.08,Miami (OH) RedHawks,2018
3rd Down Conversion Pct,91,0.375,Miami (OH) RedHawks,2018
4th Down Conversion Pct,T-70,0.500,Miami (OH) RedHawks,2018
3rd Down Conversion Pct Defense,68,0.388,Miami (OH) RedHawks,2018
4th Down Conversion Pct Defense,T-18,0.400,Miami (OH) RedHawks,2018
Red Zone Offense,61,0.850,Miami (OH) RedHawks,2018
Red Zone Defense,13,0.743,Miami (OH) RedHawks,2018
Net Punting,45,38.75,Miami (OH) RedHawks,2018
Punt Returns,87,6.17,Miami (OH) RedHawks,2018
Kickoff Returns,119,17.70,Miami (OH) RedHawks,2018
First Downs Offense,T-73,248,Miami (OH) RedHawks,2018
First Downs Defense,T-37,225,Miami (OH) RedHawks,2018
Fewest Penalties Per Game,106,7.17,Miami (OH) RedHawks,2018
Fewest Penalty Yards Per Game,106,64.08,Miami (OH) RedHawks,2018
Time of Possession,29,31:25,Miami (OH) RedHawks,2018
Total Offense,101,354.9,Michigan  Wolverines,2018
Rushing Offense,42,186.3,Michigan  Wolverines,2018
Passing Offense,111,168.6,Michigan  Wolverines,2018
Team Passing Efficiency,110,115.49,Michigan  Wolverines,2018
Scoring Offense,T-84,25.8,Michigan  Wolverines,2018
Total Defense,3,268.6,Michigan  Wolverines,2018
Rushing Defense,21,125.9,Michigan  Wolverines,2018
Passing Yards Allowed,1,142.7,Michigan  Wolverines,2018
Team Passing Efficiency Defense,3,100.17,Michigan  Wolverines,2018
Scoring Defense,13,18.3,Michigan  Wolverines,2018
Turnover Margin,T-81,-0.17,Michigan  Wolverines,2018
3rd Down Conversion Pct,T-104,0.347,Michigan  Wolverines,2018
4th Down Conversion Pct,T-31,0.615,Michigan  Wolverines,2018
3rd Down Conversion Pct Defense,3,0.271,Michigan  Wolverines,2018
4th Down Conversion Pct Defense,T-41,0.455,Michigan  Wolverines,2018
Red Zone Offense,43,0.872,Michigan  Wolverines,2018
Red Zone Defense,57,0.821,Michigan  Wolverines,2018
Net Punting,109,35.86,Michigan  Wolverines,2018
Punt Returns,56,8.29,Michigan  Wolverines,2018
Kickoff Returns,111,18.72,Michigan  Wolverines,2018
First Downs Offense,T-113,210,Michigan  Wolverines,2018
First Downs Defense,2,166,Michigan  Wolverines,2018
Fewest Penalties Per Game,T-95,6.67,Michigan  Wolverines,2018
Fewest Penalty Yards Per Game,88,58.58,Michigan  Wolverines,2018
Time of Possession,24,31:45,Michigan  Wolverines,2018
Total Offense,92,378.3,Michigan St. Spartans,2018
Rushing Offense,65,162.9,Michigan St. Spartans,2018
Passing Offense,76,215.4,Michigan St. Spartans,2018
Team Passing Efficiency,93,122.70,Michigan St. Spartans,2018
Scoring Offense,105,23.1,Michigan St. Spartans,2018
Total Defense,9,297.8,Michigan St. Spartans,2018
Rushing Defense,5,101.3,Michigan St. Spartans,2018
Passing Yards Allowed,31,196.5,Michigan St. Spartans,2018
Team Passing Efficiency Defense,12,110.90,Michigan St. Spartans,2018
Scoring Defense,23,20.3,Michigan St. Spartans,2018
Turnover Margin,T-53,0.17,Michigan St. Spartans,2018
3rd Down Conversion Pct,36,0.432,Michigan St. Spartans,2018
4th Down Conversion Pct,T-40,0.588,Michigan St. Spartans,2018
3rd Down Conversion Pct Defense,16,0.319,Michigan St. Spartans,2018
4th Down Conversion Pct Defense,91,0.571,Michigan St. Spartans,2018
Red Zone Offense,T-88,0.809,Michigan St. Spartans,2018
Red Zone Defense,89,0.862,Michigan St. Spartans,2018
Net Punting,55,38.25,Michigan St. Spartans,2018
Punt Returns,118,3.90,Michigan St. Spartans,2018
Kickoff Returns,70,20.94,Michigan St. Spartans,2018
First Downs Offense,57,256,Michigan St. Spartans,2018
First Downs Defense,9,189,Michigan St. Spartans,2018
Fewest Penalties Per Game,T-89,6.50,Michigan St. Spartans,2018
Fewest Penalty Yards Per Game,95,59.83,Michigan St. Spartans,2018
Time of Possession,2,35:12,Michigan St. Spartans,2018
Total Offense,69,393.4,Middle Tenn. Blue Raiders,2018
Rushing Offense,92,142.3,Middle Tenn. Blue Raiders,2018
Passing Offense,47,251.1,Middle Tenn. Blue Raiders,2018
Team Passing Efficiency,82,126.44,Middle Tenn. Blue Raiders,2018
Scoring Offense,89,25.5,Middle Tenn. Blue Raiders,2018
Total Defense,35,357.3,Middle Tenn. Blue Raiders,2018
Rushing Defense,31,134.1,Middle Tenn. Blue Raiders,2018
Passing Yards Allowed,65,223.2,Middle Tenn. Blue Raiders,2018
Team Passing Efficiency Defense,66,129.23,Middle Tenn. Blue Raiders,2018
Scoring Defense,47,24.7,Middle Tenn. Blue Raiders,2018
Turnover Margin,121,-0.92,Middle Tenn. Blue Raiders,2018
3rd Down Conversion Pct,89,0.376,Middle Tenn. Blue Raiders,2018
4th Down Conversion Pct,T-93,0.438,Middle Tenn. Blue Raiders,2018
3rd Down Conversion Pct Defense,37,0.348,Middle Tenn. Blue Raiders,2018
4th Down Conversion Pct Defense,41,0.455,Middle Tenn. Blue Raiders,2018
Red Zone Offense,93,0.800,Middle Tenn. Blue Raiders,2018
Red Zone Defense,76,0.846,Middle Tenn. Blue Raiders,2018
Net Punting,83,37.06,Middle Tenn. Blue Raiders,2018
Punt Returns,T-69,7.22,Middle Tenn. Blue Raiders,2018
Kickoff Returns,65,21.24,Middle Tenn. Blue Raiders,2018
First Downs Offense,37,274,Middle Tenn. Blue Raiders,2018
First Downs Defense,74,255,Middle Tenn. Blue Raiders,2018
Fewest Penalties Per Game,T-87,6.46,Middle Tenn. Blue Raiders,2018
Fewest Penalty Yards Per Game,101,62.23,Middle Tenn. Blue Raiders,2018
Time of Possession,79,29:26,Middle Tenn. Blue Raiders,2018
Total Offense,122,308.5,Minnesota  Golden Gophers,2018
Rushing Offense,49,182.4,Minnesota  Golden Gophers,2018
Passing Offense,121,126.1,Minnesota  Golden Gophers,2018
Team Passing Efficiency,119,105.06,Minnesota  Golden Gophers,2018
Scoring Offense,109,22.1,Minnesota  Golden Gophers,2018
Total Defense,29,346.7,Minnesota  Golden Gophers,2018
Rushing Defense,76,172.2,Minnesota  Golden Gophers,2018
Passing Yards Allowed,10,174.5,Minnesota  Golden Gophers,2018
Team Passing Efficiency Defense,60,127.32,Minnesota  Golden Gophers,2018
Scoring Defense,38,22.8,Minnesota  Golden Gophers,2018
Turnover Margin,T-67,0.00,Minnesota  Golden Gophers,2018
3rd Down Conversion Pct,110,0.335,Minnesota  Golden Gophers,2018
4th Down Conversion Pct,2,0.769,Minnesota  Golden Gophers,2018
3rd Down Conversion Pct Defense,64,0.384,Minnesota  Golden Gophers,2018
4th Down Conversion Pct Defense,T-25,0.412,Minnesota  Golden Gophers,2018
Red Zone Offense,T-90,0.805,Minnesota  Golden Gophers,2018
Red Zone Defense,74,0.842,Minnesota  Golden Gophers,2018
Net Punting,59,38.13,Minnesota  Golden Gophers,2018
Punt Returns,117,4.00,Minnesota  Golden Gophers,2018
Kickoff Returns,58,21.51,Minnesota  Golden Gophers,2018
First Downs Offense,121,197,Minnesota  Golden Gophers,2018
First Downs Defense,19,208,Minnesota  Golden Gophers,2018
Fewest Penalties Per Game,1,3.25,Minnesota  Golden Gophers,2018
Fewest Penalty Yards Per Game,2,28.33,Minnesota  Golden Gophers,2018
Time of Possession,42,30:57,Minnesota  Golden Gophers,2018
Total Offense,45,419.8,Mississippi St. Bulldogs,2018
Rushing Offense,14,249.6,Mississippi St. Bulldogs,2018
Passing Offense,108,170.3,Mississippi St. Bulldogs,2018
Team Passing Efficiency,111,114.63,Mississippi St. Bulldogs,2018
Scoring Offense,37,32.1,Mississippi St. Bulldogs,2018
Total Defense,10,302.0,Mississippi St. Bulldogs,2018
Rushing Defense,24,127.0,Mississippi St. Bulldogs,2018
Passing Yards Allowed,13,175.0,Mississippi St. Bulldogs,2018
Team Passing Efficiency Defense,39,120.82,Mississippi St. Bulldogs,2018
Scoring Defense,24,20.4,Mississippi St. Bulldogs,2018
Turnover Margin,T-81,-0.17,Mississippi St. Bulldogs,2018
3rd Down Conversion Pct,11,0.462,Mississippi St. Bulldogs,2018
4th Down Conversion Pct,T-67,0.522,Mississippi St. Bulldogs,2018
3rd Down Conversion Pct Defense,12,0.310,Mississippi St. Bulldogs,2018
4th Down Conversion Pct Defense,3,0.231,Mississippi St. Bulldogs,2018
Red Zone Offense,62,0.849,Mississippi St. Bulldogs,2018
Red Zone Defense,31,0.792,Mississippi St. Bulldogs,2018
Net Punting,32,39.67,Mississippi St. Bulldogs,2018
Punt Returns,28,10.48,Mississippi St. Bulldogs,2018
Kickoff Returns,88,20.13,Mississippi St. Bulldogs,2018
First Downs Offense,35,276,Mississippi St. Bulldogs,2018
First Downs Defense,1,155,Mississippi St. Bulldogs,2018
Fewest Penalties Per Game,T-52,5.75,Mississippi St. Bulldogs,2018
Fewest Penalty Yards Per Game,55,50.83,Mississippi St. Bulldogs,2018
Time of Possession,6,33:41,Mississippi St. Bulldogs,2018
Total Offense,7,511.5,Missouri  Tigers,2018
Rushing Offense,35,199.6,Missouri  Tigers,2018
Passing Offense,14,311.9,Missouri  Tigers,2018
Team Passing Efficiency,4,166.49,Missouri  Tigers,2018
Scoring Offense,9,39.3,Missouri  Tigers,2018
Total Defense,88,425.3,Missouri  Tigers,2018
Rushing Defense,62,163.5,Missouri  Tigers,2018
Passing Yards Allowed,109,261.8,Missouri  Tigers,2018
Team Passing Efficiency Defense,75,132.34,Missouri  Tigers,2018
Scoring Defense,T-94,31.8,Missouri  Tigers,2018
Turnover Margin,T-92,-0.33,Missouri  Tigers,2018
3rd Down Conversion Pct,7,0.472,Missouri  Tigers,2018
4th Down Conversion Pct,125,0.273,Missouri  Tigers,2018
3rd Down Conversion Pct Defense,111,0.443,Missouri  Tigers,2018
4th Down Conversion Pct Defense,72,0.529,Missouri  Tigers,2018
Red Zone Offense,22,0.902,Missouri  Tigers,2018
Red Zone Defense,T-122,0.907,Missouri  Tigers,2018
Net Punting,10,41.66,Missouri  Tigers,2018
Punt Returns,4,16.57,Missouri  Tigers,2018
Kickoff Returns,54,21.57,Missouri  Tigers,2018
First Downs Offense,24,287,Missouri  Tigers,2018
First Downs Defense,T-67,250,Missouri  Tigers,2018
Fewest Penalties Per Game,109,7.25,Missouri  Tigers,2018
Fewest Penalty Yards Per Game,83,57.33,Missouri  Tigers,2018
Time of Possession,128,25:02,Missouri  Tigers,2018
Total Offense,29,449.3,NC State Wolfpack,2018
Rushing Offense,51,177.4,NC State Wolfpack,2018
Passing Offense,29,271.8,NC State Wolfpack,2018
Team Passing Efficiency,62,133.07,NC State Wolfpack,2018
Scoring Offense,46,30.6,NC State Wolfpack,2018
Total Defense,53,377.2,NC State Wolfpack,2018
Rushing Defense,T-28,132.2,NC State Wolfpack,2018
Passing Yards Allowed,95,245.0,NC State Wolfpack,2018
Team Passing Efficiency Defense,49,123.80,NC State Wolfpack,2018
Scoring Defense,T-49,24.8,NC State Wolfpack,2018
Turnover Margin,T-28,0.42,NC State Wolfpack,2018
3rd Down Conversion Pct,42,0.428,NC State Wolfpack,2018
4th Down Conversion Pct,T-49,0.565,NC State Wolfpack,2018
3rd Down Conversion Pct Defense,84,0.407,NC State Wolfpack,2018
4th Down Conversion Pct Defense,56,0.476,NC State Wolfpack,2018
Red Zone Offense,123,0.717,NC State Wolfpack,2018
Red Zone Defense,23,0.769,NC State Wolfpack,2018
Net Punting,81,37.15,NC State Wolfpack,2018
Punt Returns,12,13.53,NC State Wolfpack,2018
Kickoff Returns,39,22.22,NC State Wolfpack,2018
First Downs Offense,T-31,279,NC State Wolfpack,2018
First Downs Defense,44,230,NC State Wolfpack,2018
Fewest Penalties Per Game,T-69,6.08,NC State Wolfpack,2018
Fewest Penalty Yards Per Game,74,55.58,NC State Wolfpack,2018
Time of Possession,13,32:35,NC State Wolfpack,2018
Total Offense,42,426.8,Navy Midshipmen,2018
Rushing Offense,2,343.0,Navy Midshipmen,2018
Passing Offense,128,83.8,Navy Midshipmen,2018
Team Passing Efficiency,47,138.04,Navy Midshipmen,2018
Scoring Offense,60,28.9,Navy Midshipmen,2018
Total Defense,60,386.6,Navy Midshipmen,2018
Rushing Defense,66,164.9,Navy Midshipmen,2018
Passing Yards Allowed,61,221.7,Navy Midshipmen,2018
Team Passing Efficiency Defense,124,160.05,Navy Midshipmen,2018
Scoring Defense,74,27.9,Navy Midshipmen,2018
Turnover Margin,103,-0.50,Navy Midshipmen,2018
3rd Down Conversion Pct,T-24,0.444,Navy Midshipmen,2018
4th Down Conversion Pct,26,0.625,Navy Midshipmen,2018
3rd Down Conversion Pct Defense,101,0.435,Navy Midshipmen,2018
4th Down Conversion Pct Defense,76,0.533,Navy Midshipmen,2018
Red Zone Offense,T-68,0.841,Navy Midshipmen,2018
Red Zone Defense,110,0.889,Navy Midshipmen,2018
Net Punting,51,38.36,Navy Midshipmen,2018
Punt Returns,68,7.29,Navy Midshipmen,2018
Kickoff Returns,90,19.83,Navy Midshipmen,2018
First Downs Offense,T-66,251,Navy Midshipmen,2018
First Downs Defense,T-32,222,Navy Midshipmen,2018
Fewest Penalties Per Game,9,4.17,Navy Midshipmen,2018
Fewest Penalty Yards Per Game,25,41.92,Navy Midshipmen,2018
Time of Possession,1,35:49,Navy Midshipmen,2018
Total Offense,87,385.0,"Nebraska  Cornhuskers, Huskers",2018
Rushing Offense,119,107.5,"Nebraska  Cornhuskers, Huskers",2018
Passing Offense,27,277.5,"Nebraska  Cornhuskers, Huskers",2018
Team Passing Efficiency,77,127.80,"Nebraska  Cornhuskers, Huskers",2018
Scoring Offense,84,25.8,"Nebraska  Cornhuskers, Huskers",2018
Total Defense,101,436.2,"Nebraska  Cornhuskers, Huskers",2018
Rushing Defense,114,214.8,"Nebraska  Cornhuskers, Huskers",2018
Passing Yards Allowed,60,221.4,"Nebraska  Cornhuskers, Huskers",2018
Team Passing Efficiency Defense,95,138.26,"Nebraska  Cornhuskers, Huskers",2018
Scoring Defense,115,36.4,"Nebraska  Cornhuskers, Huskers",2018
Turnover Margin,T-106,-0.58,"Nebraska  Cornhuskers, Huskers",2018
3rd Down Conversion Pct,90,0.376,"Nebraska  Cornhuskers, Huskers",2018
4th Down Conversion Pct,77,0.481,"Nebraska  Cornhuskers, Huskers",2018
3rd Down Conversion Pct Defense,98,0.431,"Nebraska  Cornhuskers, Huskers",2018
4th Down Conversion Pct Defense,T-63,0.500,"Nebraska  Cornhuskers, Huskers",2018
Red Zone Offense,111,0.756,"Nebraska  Cornhuskers, Huskers",2018
Red Zone Defense,102,0.877,"Nebraska  Cornhuskers, Huskers",2018
Net Punting,40,38.90,"Nebraska  Cornhuskers, Huskers",2018
Punt Returns,86,6.20,"Nebraska  Cornhuskers, Huskers",2018
Kickoff Returns,34,22.61,"Nebraska  Cornhuskers, Huskers",2018
First Downs Offense,T-87,236,"Nebraska  Cornhuskers, Huskers",2018
First Downs Defense,T-105,279,"Nebraska  Cornhuskers, Huskers",2018
Fewest Penalties Per Game,T-77,6.25,"Nebraska  Cornhuskers, Huskers",2018
Fewest Penalty Yards Per Game,98,60.67,"Nebraska  Cornhuskers, Huskers",2018
Time of Possession,52,30:36,"Nebraska  Cornhuskers, Huskers",2018
Total Offense,65,397.6,Nevada  Wolf Pack,2018
Rushing Offense,108,127.2,Nevada  Wolf Pack,2018
Passing Offense,31,270.4,Nevada  Wolf Pack,2018
Team Passing Efficiency,52,135.61,Nevada  Wolf Pack,2018
